"Del Rio, Texas",,,"Omaha, Nebraska",,,"International Falls, Minnesota",
Pressure (hPa),Temperature (K),,Pressure (hPa),Temperature (K),,Pressure (hPa),Temperature (K)
925,298.75,,925,282.75,,925,279.35
905,297.95,,923,282.75,,911,278.15
850,293.75,,891,280.35,,887,276.55
753,284.35,,887.3,280.15,,877.8,275.85
749,283.95,,854.9,277.85,,850,273.55
747,283.95,,850,277.55,,845.1,273.15
737,284.95,,844,277.35,,841,272.85
731,284.55,,823.5,279.25,,813.3,270.95
728,285.35,,820,279.55,,788,269.05
700,283.15,,813,279.15,,782.6,268.55
688,282.35,,797,278.55,,752.6,265.85
635,276.55,,793.3,278.75,,723.7,263.05
616,274.75,,790,278.95,,713,262.05
609,274.75,,764.2,277.95,,700,261.65
573,271.45,,747,277.35,,696,261.85
569,272.45,,736.1,276.75,,695.6,261.85
544,270.25,,713,275.35,,690,261.85
509,268.45,,701,275.95,,668.4,260.95
500,267.25,,700,275.95,,654,260.25
,,,694,276.55,,642.3,260.55
,,,687,277.75,,639,260.65
,,,682.6,277.45,,626,260.25
,,,668,276.55,,621,260.05
,,,657.4,277.35,,617.1,259.85
,,,655,277.55,,592.8,258.35
,,,638,276.35,,592,258.25
,,,609.7,274.25,,569.1,255.95
,,,600,273.55,,546.3,253.55
,,,588,272.25,,531,251.85
,,,586.9,272.15,,524.3,251.25
,,,575,271.05,,510,249.85
,,,564.7,270.05,,503,249.05
,,,543.3,267.85,,500,248.65
,,,540,267.45,,,
,,,522.6,266.35,,,
,,,513,265.65,,,
,,,502.5,264.65,,,
,,,500,264.45,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
